objectid,title,creator,date,description,collection,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,extra
mr_018,"Meteorite ""Etter""",,1966,,Meteorites,,Display Case F3,,,,mr_018,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/f2b1529803833e3b3db106e614fc8794f1182ea9.jpg,,,,,
mr_001,"Meteorite ""Seagraves""",,1989,,Meteorites,,Display Case F3,,,,mr_001,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/66fabf3d7123c8ef06ab3722d1053c463e1fde0d.jpg,,,,,
mr_010,"Meteorite ""Imilac""",,,,Meteorites,,Display Case F3,,,,mr_010,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/4371299c205e8389fa2aba57feb16ae8b4d6440c.jpg,,,,,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/967ee9d8f15db9d4099b8868696aa540e31438b8.jpg
mr_017,"Meteorite ""Sierra Madera""",,,,Meteorites,,Display Case F3,,,,mr_017,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/d6787d65dc1c30d5f222146d42d0edd2ac5da907.jpg,,,,,
mr_005,"Meteorite ""Gretna""",,1912,,Meteorites,,Display Case F3,,,,mr_005,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/fd063292efc9b047ea12c4c22e741d6f21391f3c.jpg,,,,,
mr_003,"Meteorite ""Charlevoix""",,1966,,Meteorites,,Display Case F3,,,,mr_003,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/00a5ef4c24f962cfaadc1a7555faf0f1fddeca6c.jpg,,,,,
mr_020,"Meteorite ""Owasco""",,1984,,Meteorites,,Display Case F3,,,,mr_020,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/977c05b418c46468afcfd499dbec9116a650fe84.jpg,,,,,
te_083,"Edison Phonograph Cylinder recording
 
 Eppler's Whiskers March Comique",,1908,,Technology,,Display Case G2a,,,,te_083,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/8ba21bc33cb8e9a41b83cf8a5fcfb1abe34ac424.jpg,,,,,
em_167,Resistance Box,Central Scientific Co.,,,Electricity_and_Magnetism,,Storage Location B3b,,,,em_167,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/34234bd4c9ec9f103d377439c20cccb7fcd58337.jpg,,,,,
em_160,Slide-Wire Resistance Box,Technology Instrument Corporation,,,Electricity_and_Magnetism,,Storage Location B3b,,,,em_160,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/5a040f43458f38250ec3c22a3e701ff1b7f430f1.jpg,,,,,
em_168,"Resistance box, #8493",Leeds and Northrup Co.,,,Electricity_and_Magnetism,,Storage Location B3b,,,,em_168,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/6511ddcbfe1e90b243ba7f16a7396d772dc462d6.jpg,,,,,
em_159,Wheatstone Bridge,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Bridges,Storage Location B3a,,,,em_159,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/d5511bee57185247efb2fd290c983b43f671a9d3.jpg,,,,,
em_164,Decade Resistance Box,Leeds and Northrup Co.,,,Electricity_and_Magnetism,,Storage Location H1a,,,,em_164,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/076f562151d747096166f4213d433f24a9c90a6b.jpg,,,,,
em_172,Resistance Box,James W. Queen & Co.,1895,,Electricity_and_Magnetism,,,,,,em_172,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/8d500ca0dd2d017ed1bb1308bbe753a387018151.jpg,,,,,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/d721a2a796d80cc5b2837804e022f7553fa83524.jpg
em_268,Multimeter,Supreme Instrument Corporation,,,Electricity_and_Magnetism,,Storage Location B3b,,,,em_268,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/b49d228bae0957eba8d00503ee940703ee69943a.jpg,,,,,
em_270,Vacuum Tube Multimeter,The Heath Co.,,,Electricity_and_Magnetism,,Storage Location B3b,,,,em_270,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/e498799b4854c0648d532512fd02e0aae6803fe5.jpg,,,,,
em_271,AC Voltmeter,Jewell Electrical Instrument Co.,,,Electricity_and_Magnetism,Analog_Meters,Storage Location B3b,,,,em_271,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/b43e068e647620ff92f1f65f463e0f30df843f0a.jpg,,,,,
em_272,AC Voltmeter,Triplett Electrical Instrument Co.,,,Electricity_and_Magnetism,Analog_Meters,Storage Location B3b,,,,em_272,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/1f92a920ff2f1c155e9405328c0498566ad9d972.jpg,,,,,
em_273,AC/DC Vacuum Tube Voltmeter,General Radio Co.,,,Electricity_and_Magnetism,Analog_Meters,Storage Location B3b,,,,em_273,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/bfa0210ece4c9be28a24102bad85d27efd8eca61.jpg,,,,,
em_292,AC Ammeter,Jewell Electrical Instrument Co.,1927,,Electricity_and_Magnetism,Analog_Meters,In Storage Location H09a,,,,em_292,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/867033496d851db06e580443cf386f20090be3fa.jpg,,,,,
em_293,DC Voltmeter,Simpson Electric Co.,,,Electricity_and_Magnetism,Analog_Meters,Storage Location B3a,,,,em_293,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/917ae3f307f8850354c98696e479104e48f59eed.jpg,,,,,
em_294,Galvanometer,W. G. Pye & Co.,,,Electricity_and_Magnetism,Galvanometers,Storage Location B3a,,,,em_294,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/4bd7db7e602e53b16abb58a30ea419cdcec0212e.jpg,,,,,
em_295,Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,,,,,em_295,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/b6e6a2354fa697f6a6c5e106c0196c44e8c9431e.jpg,,,,,
em_162,Decade Resistance Box,Winslow Engineering Co.,,,Electricity_and_Magnetism,,Storage Location B3b,,,,em_162,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/4f83f890702b1f1def974eb884975f2931860a96.jpg,,,,,
em_166,Decade Resistance Box,General Radio Co.,,,Electricity_and_Magnetism,,Storage Location B3b,,,,em_166,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/de51f99184ee5fb75824f1cc56d54a8d985256bc.jpg,,,,,
